,Unnamed: 0,STEM.TAG,QUAD,SUBQUAD,X,Y,SPECIES,CENSUS,DIAM,ALIVE,coords.x1,coords.x2,x_trans,y_trans
194,485674,13523,116,44,16.0,316.0,HOMRAC,6,39.1,A,265160.884309199,254493.077175692,202247.67214042624,2028410.5174253602
195,485675,13524,116,44,18.22,318.17,DACEXC,6,30.3,A,265163.109095912,254495.236713477,202249.93879285926,2028412.6361628058
196,485692,14303,117,13,1.6,332.88,DACEXC,6,62.9,A,265146.563148262,254509.93953993102,202233.66128978605,2028427.6585313072
197,485720,14309,117,23,7.47,331.39,DACEXC,6,43.1,A,265152.420147439,254508.441839303,202239.49312798987,2028426.0496582538
198,485721,14312,117,23,5.63,330.17,DACEXC,6,26.5,A,265150.57823387,254507.228912725,202237.6273897693,2028424.8708116082
199,485749,14306,117,34,10.08,339.29,COCDIV,6,22.5,A,265155.054762443,254516.31476592802,202242.27750542323,2028433.8770513707
200,485757,14319,117,42,17.26,327.14,SAPLAU,6,28.1,A,265162.182199241,254504.18387099198,202249.18003952136,2028421.6054733412
201,485785,15001,118,12,0.96,349.45,CASARB,6,25.7,A,265145.982810062,254526.46506230102,202233.39210934698,2028444.2036440698
202,485795,15002,118,14,1.05,358.97,CASARB,6,23.5,A,265146.106486402,254535.958587141,202233.69477874454,2028453.6998085952
203,485839,15003,118,24,6.46,358.59,MANBID,6,72.3,A,265151.508030224,254535.568746675,202239.09180311207,2028453.2079587693
204,485854,15016,118,32,11.02,346.87,CASARB,6,21.3,A,265156.020435409,254523.87193799802,202243.38611636084,2028441.4199794235
205,485869,15024,118,41,17.45,343.32,INGLAU,6,38.2,A,265162.42938621104,254520.31879979,202249.73145502608,2028437.7441895634
206,485887,15022,118,44,18.51,358.59,CASARB,6,29.9,A,265163.542199879,254535.544490725,202251.1318154604,2028452.956876946
207,485891,15701,119,11,1.51,360.99,DACEXC,6,35.2,A,265146.573052787,254537.97208200002,202234.1995386501,2028455.705564091
208,485892,15702,119,11,4.56,361.34,HOMRAC,6,41.5,A,265149.620288384,254538.31497583602,202237.25483235082,2028455.9912048238
